,child_mortality,disabled_total_by_age,poverty_percent_by_regions,welfare_expense_share,cash_real_income_wages,Number of children,Pensioners,Working-age population,feel uncomfortable while living,size of living space,population,gross_regional_product,regional_production,retail_turnover_per_capita,newborn_monthly,crimes,morbidity_age_disease,drug+alco,cluster
г. Санкт-Петербург,247.83333333333334,7051476.5,7.1499999999999995,15.733333333333333,43499.0,13.075,2.45,34.5,14.2,15.7,5305474.666666667,841584.6,4562183992.12,254799.66666666666,64764.659999999996,2020.6000000000001,474562.0,28.800000000000004,2
Ненецкий автономный округ,2.6666666666666665,34975.0,9.766666666666666,14.983333333333334,76707.66666666667,48.05,2.625,49.300000000000004,18.6,20.9,43847.5,6208847.116666666,512902932.0,213647.0,673.0,76.80000000000001,601035.05,138.15,1
Ханты-Мансийский автономный округ — Югра,95.66666666666667,602720.0,9.883333333333333,14.85,50059.5,46.725,5.050000000000001,48.2,15.4,13.9,1646409.0,2243299.716666667,6686689386.066667,244323.66666666666,23282.164999999997,1197.8,369741.95,72.89999999999999,1
Республика Саха (Якутия),83.33333333333333,628293.75,18.75,14.283333333333331,41844.833333333336,45.2,5.425000000000001,49.375,14.7,16.5,963792.5,1046126.4166666666,1407265663.1416667,228563.0,14141.161666666667,862.8,425275.2,156.82500000000002,1
Белгородская область,75.66666666666667,2488511.25,7.816666666666667,14.166666666666666,30692.5,22.049999999999997,6.175000000000001,21.775,11.7,17.8,1549563.8333333333,556907.5,1429628510.9483333,209789.66666666666,15017.663333333336,760.4000000000001,363020.10000000003,48.1,2
Камчатский край,26.666666666666668,162485.0,16.15,13.933333333333332,48132.0,41.55,3.0,55.45,21.7,15.9,315235.0,776200.7666666666,265050690.665,179462.5,3656.5,412.0,399869.6,82.175,1
Ямало-Ненецкий автономный округ,44.0,162688.5,6.133333333333333,13.116666666666665,78070.5,47.699999999999996,1.05,51.225,15.2,15.5,539101.3333333334,4688752.966666668,4308449735.148334,248979.0,7654.5,382.6,474011.70000000007,120.6,1
Республика Крым,109.0,1486588.0,19.583333333333336,13.066666666666668,20024.166666666668,43.875,5.25,50.87499999999999,10.9,19.0,1908893.3333333333,212584.91666666672,238127300.81000003,128982.83333333333,21051.5,1279.8,245225.9,70.15,0
Сахалинская область,27.166666666666668,258347.75,8.916666666666666,12.950000000000001,53568.333333333336,39.775,8.725,51.475,13.2,17.2,488517.3333333333,1977285.2166666666,1478530099.3033333,301346.0,6202.158333333333,607.8,400107.25,148.85000000000002,1
г. Севастополь,19.166666666666668,240230.0,11.85,12.766666666666666,26865.833333333332,42.400000000000006,4.25,53.3,19.7,13.7,428834.8333333333,240593.1,41201572.36666667,138595.16666666666,4763.831666666666,229.79999999999998,275195.2,109.44999999999999,1
Республика Татарстан (Татарстан),246.33333333333334,3410310.75,7.050000000000001,12.049999999999999,33778.333333333336,41.0,8.525,50.474999999999994,17.4,16.2,3884136.6666666665,610343.8666666666,4198786408.4716663,223770.33333333334,48609.319999999985,2660.0,356949.35000000003,63.800000000000004,2
Магаданская область,6.333333333333333,60218.75,10.75,11.666666666666664,58826.833333333336,38.625,6.575,54.8,15.7,13.8,144243.33333333334,1302616.95,284838895.74,219359.16666666666,1499.1666666666667,168.20000000000002,311310.25,171.72500000000002,1
Калининградская область,53.0,842079.75,13.683333333333332,9.883333333333335,27261.166666666668,34.15,9.4,56.425,13.4,15.6,990157.0,462620.1833333333,980998362.9366668,165231.0,10743.494999999999,782.6,361143.95,88.1,3
Чукотский автономный округ,8.5,19196.5,8.5,6.55,75961.83333333333,24.475,0.675,24.85,17.7,14.1,49969.666666666664,1687939.8,155426166.46666667,179575.66666666666,616.0,37.6,514314.3,321.125,1
