,child_mortality,disabled_total_by_age,morbidity_age_disease_17,morbidity_age_disease_18,poverty_percent_by_regions,welfare_expense_share,cash_real_income_wages,Number of children,Pensioners,Working-age population,do not feel constrained when living,feel uncomfortable while living,experience great discomfort while living,did not answer,total area size,size of living space,number of rooms,population,gross_regional_product,regional_production,retail_turnover_per_capita,minors,group of people,criminal community,drug,alco,newborn_monthly
Саратовская область,125.5,1640865.5,304209.35,54284.05,15.966666666666667,25.116666666666664,21397.5,39.425,5.6,55.0,81.3,15.0,3.7,0.0,23.7,17.8,2.5,2464245.5,306036.0,882653022.1550001,142501.0,549.0,1176.2,18.2,6.175,62.525,23451.491666666665
Ульяновская область,69.66666666666667,1343686.0,340644.9,64986.55,15.033333333333333,24.316666666666666,23282.833333333332,35.575,4.9,59.525000000000006,87.7,11.3,1.0,0.0,25.7,17.9,2.4,1247985.8333333333,307631.25000000006,522555991.03000003,148080.66666666666,332.4,396.0,5.0,21.025,106.07499999999999,12568.998333333331
Курганская область,54.0,884716.5,354237.5,66317.95,19.45,23.683333333333334,20773.833333333332,39.525,4.0249999999999995,56.474999999999994,85.6,10.5,3.9,0.0,23.0,16.7,2.4,848870.5,253655.1,225389720.81166664,133322.83333333334,534.6,703.0,2.8,24.5,90.55000000000001,9256.331666666667
Свердловская область,266.5,3284030.25,265624.1,53959.05,9.55,21.15,36207.333333333336,42.825,4.7,52.425,81.1,15.2,3.7,0.1,22.8,15.8,2.2,4323075.833333333,527703.1833333333,3765196294.8116665,255170.33333333334,2026.2,2992.8,4.4,15.625,62.825,52701.15333333334
Ханты-Мансийский автономный округ — Югра,95.66666666666667,602720.0,311493.15,58248.8,9.883333333333333,14.85,50059.5,46.725,5.050000000000001,48.2,81.1,15.4,3.5,0.0,22.2,13.9,2.1,1646409.0,2243299.716666667,6686689386.066667,244323.66666666666,454.2,734.8,8.8,13.625,59.27499999999999,23282.164999999997
Ямало-Ненецкий автономный округ,44.0,162688.5,397540.05000000005,76471.65,6.133333333333333,13.116666666666665,78070.5,47.699999999999996,1.05,51.225,78.8,15.2,4.5,1.5,21.8,15.5,2.1,539101.3333333334,4688752.966666668,4308449735.148334,248979.0,144.2,236.4,2.0,14.2,106.39999999999999,7654.5
Тюменская область,98.16666666666667,1124915.0,240722.8,45159.5,13.674999999999999,18.71666666666667,28856.5,46.575,4.425000000000001,49.0,79.7,15.7,4.5,0.0,23.8,18.1,2.5,1486108.5,744543.5,14323419251.62,246311.33333333334,572.4,786.8,22.8,13.0,62.2,21280.331666666665
Челябинская область,227.83333333333334,2656390.5,335120.1,59039.649999999994,13.149999999999999,21.683333333333334,24744.833333333332,42.225,3.25,54.550000000000004,78.6,16.5,4.9,0.0,23.6,16.0,2.2,3489245.1666666665,413443.53333333327,2728132944.12,151515.33333333334,1864.6,3243.8,78.2,26.35,78.54999999999998,40201.98166666666
Республика Алтай,33.166666666666664,262885.5,264919.69999999995,69645.4,24.650000000000002,17.26666666666667,19304.166666666668,45.375,3.9,50.699999999999996,86.5,9.3,4.2,0.0,19.5,14.4,2.4,217163.5,239721.41666666666,16015908.199999997,117538.5,168.2,159.4,0.8,8.0,69.4,3443.8333333333335
Республика Тыва,65.5,247812.0,193264.15000000002,46651.2,35.11666666666666,20.400000000000002,16124.166666666666,45.675,4.4,49.925000000000004,72.5,19.8,7.7,0.0,18.8,13.6,2.8,320248.6666666667,209876.18333333335,43017622.81666667,72654.5,300.4,229.8,0.2,9.1,66.15,6860.996666666666
